deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.61	-0.108701454013535	-0.155968775660301	-0.0614341323667681	487	sample	1	ROM
0.61	-0.113033962034049	-0.161151291804321	-0.0649166322637778	487	sample	1	ROM
0.62	-0.11063110372756	-0.158526630305677	-0.0627355771494431	487	sample	1	ROM
0.62	-0.109254505380109	-0.157089881124474	-0.0614191296357434	487	sample	1	ROM
0.63	-0.110842751855876	-0.158980098841046	-0.062705404870706	487	sample	1	ROM
0.63	-0.10889937006655	-0.156537755730141	-0.0612609844029591	487	sample	1	ROM
0.64	-0.109924301951891	-0.15763040046414	-0.0622182034396417	487	sample	1	ROM
0.64	-0.110197229728918	-0.158399265135095	-0.0619951943227409	487	sample	1	ROM
0.65	-0.108450000954049	-0.156224207669919	-0.0606757942381792	487	sample	1	ROM
0.65	-0.107479073284969	-0.15484263666087	-0.0601155099090685	487	sample	1	ROM
