deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.08	-0.106623184912721	-0.154169515792615	-0.0590768540328263	487	sample	1	ROM
0.09	-0.105216757448751	-0.152212716812	-0.0582207980855029	487	sample	1	ROM
0.09	-0.106410064772543	-0.153508494326094	-0.0593116352189925	487	sample	1	ROM
0.1	-0.104790593195653	-0.151840873078458	-0.0577403133128486	487	sample	1	ROM
0.1	-0.105973727875204	-0.153164729684281	-0.0587827260661266	487	sample	1	ROM
0.11	-0.106191286935188	-0.15359921503652	-0.0587833588338551	487	sample	1	ROM
0.11	-0.109265953582554	-0.156797915002265	-0.0617339921628423	487	sample	1	ROM
0.12	-0.106246136298844	-0.153570934565111	-0.0589213380325768	487	sample	1	ROM
0.12	-0.105643118227618	-0.15317769158909	-0.0581085448661473	487	sample	1	ROM
0.13	-0.107391757013338	-0.155234073843097	-0.0595494401835792	487	sample	1	ROM
0.13	-0.106600769061566	-0.154925720991951	-0.0582758171311806	487	sample	1	ROM
0.14	-0.104648640741406	-0.152142960781574	-0.0571543207012369	487	sample	1	ROM
0.14	-0.108780108886455	-0.15703294139707	-0.0605272763758396	487	sample	1	ROM
0.15	-0.107530797350715	-0.155744801847022	-0.0593167928544074	487	sample	1	ROM
0.15	-0.108416099699027	-0.15643085031102	-0.0604013490870338	487	sample	1	ROM
0.16	NA	NA	NA	NA	sample	1	ROM
0.16	-0.105052888994478	-0.152880828083668	-0.0572249499052886	487	sample	1	ROM
0.17	-0.109322177560126	-0.157505970157479	-0.0611383849627728	487	sample	1	ROM
0.17	-0.10561778147426	-0.153326683823487	-0.0579088791250337	487	sample	1	ROM
0.18	NA	NA	NA	NA	sample	1	ROM
0.18	-0.0936231442912478	-0.136219004308278	-0.0510272842742175	487	sample	1	ROM
0.19	-0.111792341419195	-0.161145849244747	-0.0624388335936422	487	sample	1	ROM
0.19	-0.102664008570514	-0.150085987981234	-0.055242029159794	487	sample	1	ROM
0.2	-0.104997237586114	-0.152826433744339	-0.057168041427888	487	sample	1	ROM
